V,Si,So,TSi,TSo,Ni,No,TKNi,TKNo,M,DO,i,Sig/TS,Sig,Q,Th_c,Th,dS,dTS,dN,TKN,Thn,Th_cn
3132,261,44,309,19,49,11,87,22,2634,2.54,58,0.62,192,1746.83,9.69,9.17,217,290,38,65,2.2925,11.2174122
3105,220,37,271,22,44,11,88,23,2649,2.03,44,0.61,166,1561.05,10.5,9.21,183,249,33,65,2.3025,12.94889246
2916,207,33,235,21,42,10,79,20,2543,2.05,47,0.6,140,1481.19,13.41,9.16,174,214,32,59,2.29,16.77726066
2880,259,41,313,22,55,12,115,29,2450,2.44,58,0.65,204,1624.3,7.46,9.19,218,291,43,86,2.2975,9.768212126
2961,243,40,283,18,47,11,101,26,2466,2.39,54,0.6,169,1541.36,8.07,9.17,203,265,36,75,2.2925,9.624506016
2952,246,41,276,18,52,13,98,25,2484,2.03,47,0.62,170,1511.49,7.93,9.19,205,258,39,73,2.2975,10.33605361
3060,243,40,272,20,46,11,88,22,2650,2.26,52,0.64,174,1711.78,11.47,9.18,203,252,35,66,2.295,13.38838847
3006,249,40,300,16,50,12,95,24,2648,2.44,55,0.61,184,1726.81,11.13,9.15,209,284,38,71,2.2875,13.7809498
3015,241,39,295,18,49,12,100,26,2430,1.94,43,0.63,185,1597.47,8.24,9.19,202,277,37,74,2.2975,10.33045805
3042,266,42,298,25,49,12,97,25,2579,2.38,56,0.63,188,1669.78,8.37,9.18,224,273,37,72,2.295,9.507213146
3033,210,33,232,18,38,10,76,19,2646,2.03,45,0.65,151,1557.62,11.88,9.16,177,214,28,57,2.29,13.25543767
2952,224,36,249,21,43,10,94,24,2486,1.91,43,0.64,159,1480.64,11.2,9.19,188,228,33,70,2.2975,13.25719942
2916,268,45,331,25,54,13,94,23,2516,2.21,52,0.65,217,1628.41,7.48,9.15,223,306,41,71,2.2875,9.293384224
2898,245,40,271,20,52,12,102,26,2466,2.08,50,0.62,168,1517.46,9.05,9.17,205,251,40,76,2.2925,11.84402097
3033,230,37,278,23,54,13,113,28,2656,1.89,45,0.6,167,1665.05,10.11,9.14,193,255,41,85,2.285,14.63626987
2889,214,36,264,23,44,10,88,23,2474,1.9,44,0.65,171,1638.05,10.89,9.14,178,241,34,65,2.285,13.80638921
3096,226,37,265,16,47,12,93,24,2509,2.01,48,0.65,172,1568.03,9.19,9.14,189,249,35,69,2.285,11.78469262
3123,250,41,295,24,57,13,112,29,2696,2.21,51,0.62,182,1790.12,9.01,9.21,209,271,44,83,2.3025,12.66697657
2943,266,42,301,22,51,13,99,25,2508,2.32,55,0.6,182,1690.07,8.61,9.15,224,279,38,74,2.2875,10.17899779
2898,203,33,229,14,42,11,90,23,2555,1.77,41,0.59,136,1430.17,13.97,9.24,170,215,31,67,2.31,17.82226873
3087,230,38,278,22,43,11,81,20,2482,2.16,51,0.64,178,1624.31,12.07,9.17,192,256,32,61,2.2925,13.91429539
2934,238,39,274,23,45,11,95,25,2602,2.17,51,0.61,167,1627.99,12.35,9.21,199,251,34,70,2.3025,14.39845335
3105,260,43,312,20,48,11,92,23,2679,2.38,53,0.62,193,1548.34,10.68,9.14,217,292,37,69,2.285,12.15772936
2925,206,34,233,15,42,10,77,21,2557,1.71,37,0.64,148,1580.72,11.74,9.24,172,218,32,56,2.31,14.75922305
2934,229,38,259,17,48,11,101,25,2608,2.08,49,0.64,164,1494.16,9.22,9.24,191,242,37,76,2.31,11.91653534
3132,257,43,312,28,55,13,108,27,2575,2.17,50,0.64,200,1795.92,8.78,9.17,214,284,42,81,2.2925,11.5861037
2970,235,36,263,23,51,12,94,24,2486,1.93,46,0.62,164,1518.9,10.09,9.15,199,240,39,70,2.2875,13.50227066
2979,265,42,298,23,51,13,102,26,2563,2.35,52,0.61,182,1700.22,7.85,9.21,223,275,38,76,2.3025,9.315523981
2952,205,34,226,19,40,9,81,21,2681,1.66,39,0.62,139,1636.88,14.6,9.17,171,207,31,60,2.2925,17.56597722
3087,255,42,305,24,51,12,103,26,2617,2.39,53,0.63,192,1662.55,10.35,9.18,213,281,39,77,2.295,12.76390828
3114,254,43,313,22,57,13,116,31,2591,2.04,44,0.62,194,1679.53,7.86,9.12,211,291,44,85,2.28,10.87619572
3015,252,41,285,23,52,12,98,25,2486,2.24,51,0.64,181,1581.66,7.71,9.19,211,262,40,73,2.2975,9.810033946
3114,217,35,264,16,52,12,97,25,2681,2.09,48,0.62,165,1604.18,11.43,9.18,182,248,40,72,2.295,16.8889702
3015,234,38,277,16,48,11,98,26,2541,2.24,51,0.66,182,1552.11,10.7,9.18,196,261,37,72,2.295,13.53388516
2925,243,40,279,20,50,12,104,27,2575,2.23,54,0.65,182,1506.66,10.03,9.22,203,259,38,77,2.305,12.72559194
2916,258,43,288,24,49,13,100,26,2661,2.13,51,0.65,187,1605.93,10.01,9.24,215,264,36,74,2.31,11.72259554
3024,215,36,243,22,40,10,80,21,2488,1.79,42,0.6,146,1543.08,12.32,9.17,179,221,30,59,2.2925,14.13336479
3015,236,39,259,21,54,14,100,26,2431,1.95,44,0.6,156,1587.65,8.79,9.16,197,238,40,74,2.29,12.40177824
